active_vehicles,is_weekend,month,day,trips_rolling_mean_3,trips_rolling_mean_7,lag_1,lag_2,lag_3
1181,0,2,12,10011.666666666666,11444.285714285714,4609.0,13786.0,2092.0
4137,0,2,12,17697.666666666668,12152.142857142857,11640.0,4609.0,13786.0
1216,0,2,13,20515.33333333333,13756.57142857143,36844.0,11640.0,4609.0
281,0,2,13,17438.0,12063.0,13062.0,36844.0,11640.0
599,0,2,13,7126.333333333333,12608.285714285714,2408.0,13062.0,36844.0
1590,0,2,13,8437.666666666666,13066.857142857143,5909.0,2408.0,13062.0
1523,0,2,13,12997.666666666666,14706.714285714286,16996.0,5909.0,2408.0
4395,0,2,13,25548.33333333333,19266.85714285714,16088.0,16996.0,5909.0
1486,1,2,14,25549.33333333333,16431.85714285714,43561.0,16088.0,16996.0
1428,1,2,14,25669.33333333333,16915.571428571428,16999.0,43561.0,16088.0
583,1,2,14,13251.333333333334,17472.571428571428,16448.0,16999.0,43561.0
236,1,2,14,8270.0,16922.0,6307.0,16448.0,16999.0
4129,1,2,14,18073.33333333333,21045.14285714286,2055.0,6307.0,16448.0
1111,1,2,14,20197.0,20558.0,45858.0,2055.0,6307.0
1261,1,2,15,24351.0,16408.85714285714,12678.0,45858.0,2055.0
3651,1,2,15,22801.33333333333,19867.42857142857,14517.0,12678.0,45858.0
1293,1,2,15,23462.666666666668,19612.285714285717,41209.0,14517.0,12678.0
521,1,2,15,20457.0,19497.0,14662.0,41209.0,14517.0
210,1,2,15,7386.0,19488.571428571428,5500.0,14662.0,41209.0
1003,1,2,15,6337.666666666667,14582.714285714286,1996.0,5500.0,14662.0
3524,0,2,16,15653.666666666666,17549.85714285714,11517.0,1996.0,5500.0
934,0,2,16,18005.666666666668,16769.14285714286,33448.0,11517.0,1996.0
207,0,2,16,14692.0,11107.285714285714,9052.0,33448.0,11517.0
1214,0,2,16,7484.0,10701.857142857143,1576.0,9052.0,33448.0
1164,0,2,16,8241.0,11533.714285714286,11824.0,1576.0,9052.0
508,0,2,16,9340.666666666666,11945.0,11323.0,11824.0,1576.0
578,0,2,17,7035.0,11000.714285714286,4875.0,11323.0,11824.0
1378,0,2,17,7435.333333333333,8011.571428571428,4907.0,4875.0,11323.0
